t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
29,0.572611750698749,0.0012519074502777801,0.07230192889456222,0.0,0.0,0.0007140297033998915,5.6624356415959584e-05,0.024897916876305676,0.022202780294492002,0.05263318583214805,0.0,0.0,1.2834508095598448e-05,6.523543975286126e-06,0.001975977462131078,0.05288026836821495,0.0021995482903873465,0.0,0.0,3.1246857266545544e-05,4.709707758330433e-06,0.11618495652986374,0.0002754242981920587,0.00019651059477748017
30,0.5718944463206331,0.0012663064004645069,0.07198555804934441,0.0,0.0,0.0007139128090729378,5.687269378722088e-05,0.025432108277389388,0.022421733468160718,0.051873334604431096,0.0,0.0,1.3142642301863435e-05,6.6519871274208225e-06,0.002037111068521614,0.0529893527948739,0.0022210520950729316,0.0,0.0,3.132179291750364e-05,4.714237521180739e-06,0.11615403551146157,0.00027552516526651547,0.0001965825617350982
31,0.5711847322316472,0.0012796671160058076,0.07168630040390424,0.0,0.0,0.0007137968642527445,5.712807541196293e-05,0.025952678235459055,0.022623670629391864,0.0511442191897261,0.0,0.0,1.3445184116721194e-05,6.776987266247052e-06,0.0020977749363416437,0.05309648888157522,0.002243962083453742,0.0,0.0,3.139567656118038e-05,4.719768224502526e-06,0.11612312724325896,0.00027562600410214506,0.000196654508544789
32,0.5704824714245081,0.0012920509122314398,0.0714032159640005,0.0,0.0,0.0007136820278336665,5.73900188468037e-05,0.026460121608243205,0.022809580545573714,0.050444352000569244,0.0,0.0,1.3742342193766595e-05,6.898700849541824e-06,0.0021578882968784968,0.05320168904544841,0.002268249272052566,0.0,0.0,3.1468513579108777e-05,4.726289566948717e-06,0.11609223180823272,0.0002757268147068532,0.0001967264352121931
33,0.5697875300152838,0.0013035158408347776,0.07113542152344944,0.0,0.0,0.0007135684473912349,5.765806945596248e-05,0.026954910841091452,0.022980392882493955,0.04977232715331532,0.0,0.0,1.4034315691846728e-05,7.017275601960823e-06,0.0022173777533721923,0.05330496789265967,0.0022938828648119353,0.0,0.0,3.154031070049765e-05,4.733789979770857e-06,0.11606134928065875,0.0002758275970885434,0.0001967983417429496
34,0.5690997769121386,0.0013141164661324544,0.07088208866349814,0.0,0.0,0.0007134562593217723,5.793179965474869e-05,0.02743749676147589,0.02313698053457829,0.04912681733647102,0.0,0.0,1.4321294610002659e-05,7.132850853774274e-06,0.0022761770395008742,0.0534063420947351,0.0023208303890785843,0.0,0.0,3.161107592857274e-05,4.742256703117732e-06,0.11603047972626485,0.000275928351255117,0.00019687022814269593
35,0.5684190822572055,0.0013239020145798513,0.07064244054619212,0.0,0.0,0.0007133455878106533,5.8210808775926155e-05,0.027908309839530233,0.02328016453570574,0.04850656762730428,0.0,0.0,1.46034603047126e-05,7.245558290952759e-06,0.002334226969782153,0.05350583022203504,0.002349057890782933,0.0,0.0,3.1680818441975394e-05,4.751675890312874e-06,0.11599962320200505,0.0002760290772144732,0.00019694209441706805
36,0.5677453197598,0.0013329198075284119,0.070415746206042,0.0,0.0,0.0007132365484608991,5.8494718568805226e-05,0.028367761333977656,0.023410717338417368,0.047910391057544605,0.0,0.0,1.488098598108003e-05,7.355522412711045e-06,0.002391474202101883,0.05360345252375341,0.002378530172187556,0.0,0.0,3.17495484641071e-05,4.762032741260604e-06,0.11596877975631571,0.00027612977497450884,0.00019701394057170023
37,0.5670783660226713,0.0013412145872477297,0.07020131802500015,0.0,0.0,0.0007131292481322815,5.87831725483496e-05,0.028816244254442267,0.02352936605959844,0.0473371643966644,0.0,0.0,1.5154037093868822e-05,7.462861015230387e-06,0.002447871034698422,0.05369923078822774,0.002409210948302714,0.0,0.0,3.18172771800646e-05,4.7733115889678e-06,0.11593794942917655,0.00027623044454311865,0.0001970857666122252
38,0.5664180999895818,0.0013488279983712716,0.06999850932421925,0.0,0.0,0.0007130237848898293,5.90758352897748e-05,0.029254134271949797,0.02363679547771272,0.046785824235941194,0.0,0.0,1.5422771727304977e-05,7.567685637253413e-06,0.002503375187716763,0.053793188209078684,0.0024410629950707328,0.0,0.0,3.188401665697563e-05,4.785495982237312e-06,0.11590713225221445,0.0002763310859281952,0.00019715757254427417
